,Effective user ID,Stream name,Namespace ID,Event count,Sessions,User engagement,Views per session,Views,Exits,Average session duration,Engagement rate,Engaged sessions,Entrances,Unnamed: 13,Source
0,,,,675,87,1583,1.8045977011494252,157,85,306.59962745977015,0.4942528735632184,43,85,Grand total,1
1,362654813.174477,Super Graphic Store,ANONYMOUS,184,6,420,8.5,51,6,2256.7191238333335,0.6666666666666666,4,6,,1
2,963911995.1744752,Super Graphic Store,ANONYMOUS,48,2,266,5.5,11,2,2309.87327,1.0,2,2,,1
3,2014208042.174482,Super Graphic Store,ANONYMOUS,39,4,58,1.25,5,3,30.33507475,0.75,3,3,,1
4,1743914096.1745105,Super Graphic Store,ANONYMOUS,34,1,189,3.0,3,1,597.054705,1.0,1,1,,1
5,1870437708.1744757,Super Graphic Store,ANONYMOUS,18,2,45,1.5,3,2,467.933713,0.5,1,2,,1
6,493883432.1739408,Super Graphic Store,ANONYMOUS,18,2,12,3.0,6,2,670.0737765,1.0,2,2,,1
7,761047948.1740621,Super Graphic Store,ANONYMOUS,13,2,5,1.5,3,2,443.56242,1.0,2,2,,1
8,315123207.17450136,Super Graphic Store,ANONYMOUS,12,1,137,2.0,2,1,191.84722,1.0,1,1,,1
9,314826333.1745051,Super Graphic Store,ANONYMOUS,11,1,1,4.0,4,1,1525.154276,1.0,1,1,,1
10,834410559.1745033,Super Graphic Store,ANONYMOUS,11,2,14,1.0,2,2,48.4625005,1.0,2,2,,1
11,100517340.17420064,Super Graphic Store,ANONYMOUS,10,1,24,1.0,1,1,27.624551,1.0,1,1,,1
12,1312120391.174469,Super Graphic Store,ANONYMOUS,10,1,54,1.0,1,1,58.076105,1.0,1,1,,1
13,2118688513.1745017,Super Graphic Store,ANONYMOUS,10,1,10,2.0,2,1,34.954085,1.0,1,1,,1
14,377635215.174504,Super Graphic Store,ANONYMOUS,10,1,70,1.0,1,1,73.583704,1.0,1,1,,1
15,1161763726.174492,Super Graphic Store,ANONYMOUS,9,2,5,1.0,2,2,2.9850775,0.0,0,2,,1
16,220595905.1745024,Super Graphic Store,ANONYMOUS,9,2,31,1.0,2,2,19.8739135,0.5,1,2,,1
17,461130643.17450434,Super Graphic Store,ANONYMOUS,9,1,3,2.0,2,1,9.843212,1.0,1,1,,1
18,1106709991.1745193,Super Graphic Store,ANONYMOUS,7,2,0,1.0,2,2,44.3561965,0.5,1,2,,1
19,1338331496.174503,Super Graphic Store,ANONYMOUS,7,1,3,1.0,1,1,21.860312,1.0,1,1,,1
20,1512799216.1745017,Super Graphic Store,ANONYMOUS,7,1,21,2.0,2,1,28.10768,1.0,1,1,,1
21,247420972.1745025,Super Graphic Store,ANONYMOUS,7,1,33,1.0,1,1,35.154086,1.0,1,1,,1
22,609425373.1745015,Super Graphic Store,ANONYMOUS,7,1,39,1.0,1,1,46.198695,1.0,1,1,,1
23,1012826947.1745192,Super Graphic Store,ANONYMOUS,6,1,26,1.0,1,1,26.207573,1.0,1,1,,1
24,1781196948.1745088,Super Graphic Store,ANONYMOUS,6,2,4,1.0,2,2,4.7313695,0.0,0,2,,1
25,899354956.1744995,Super Graphic Store,ANONYMOUS,6,1,34,1.0,1,1,39.680693,1.0,1,1,,1
26,149437230.17450207,Super Graphic Store,ANONYMOUS,5,1,39,1.0,1,1,65.889703,1.0,1,1,,1
27,179501770.17450264,Super Graphic Store,ANONYMOUS,5,1,10,1.0,1,1,10.540044,1.0,1,1,,1
28,351206472.1745014,Super Graphic Store,ANONYMOUS,5,1,0,2.0,2,1,66.906218,1.0,1,1,,1
29,54660123.17450216,Super Graphic Store,ANONYMOUS,5,2,0,0.5,1,1,0.0,0.0,0,1,,1
30,969189912.1745023,Super Graphic Store,ANONYMOUS,5,1,7,1.0,1,1,1726.842867,1.0,1,1,,1
31,969484835.1745018,Super Graphic Store,ANONYMOUS,5,1,14,1.0,1,1,26.255489,1.0,1,1,,1
32,1038541322.1745028,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.970966,0.0,0,1,,1
33,111428427.17451964,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,9.919541,0.0,0,1,,1
34,1197629473.1745193,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,5.014338,0.0,0,1,,1
35,1308368330.1745093,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,5.094278,0.0,0,1,,1
36,1369445785.1745136,Super Graphic Store,ANONYMOUS,4,1,1,1.0,1,1,1.876643,0.0,0,1,,1
37,1423862206.1745036,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,10.233993,1.0,1,1,,1
38,1525811640.1745012,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.982455,0.0,0,1,,1
39,1532620787.174507,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.898749,0.0,0,1,,1
40,1720816610.1745107,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,10.087608,1.0,1,1,,1
41,1762241319.1745036,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,8.64468,0.0,0,1,,1
42,1869128322.1745193,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,13.386294,1.0,1,1,,1
43,190883503.17450976,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.693643,0.0,0,1,,1
44,1996386056.1745017,Super Graphic Store,ANONYMOUS,4,1,2,1.0,1,1,2.342275,0.0,0,1,,1
45,2002101532.174503,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.728626,0.0,0,1,,1
46,2140619497.174512,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.970608,0.0,0,1,,1
47,313124468.1745014,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,16.919211,1.0,1,1,,1
48,399173160.174504,Super Graphic Store,ANONYMOUS,4,1,1,1.0,1,1,1.777592,0.0,0,1,,1
49,606103187.174501,Super Graphic Store,ANONYMOUS,4,1,3,1.0,1,1,212.212365,1.0,1,1,,1
50,668944347.1745088,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.357278,0.0,0,1,,1
51,848542769.1745014,Super Graphic Store,ANONYMOUS,4,1,2,1.0,1,1,7.668229,0.0,0,1,,1
52,960219890.1745013,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,31.202926,1.0,1,1,,1
53,969100598.1745042,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.952703,0.0,0,1,,1
54,997276580.1745021,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,2.091854,0.0,0,1,,1
55,1057214450.1745014,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
56,1060171436.1745012,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
57,1443574403.1745017,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
58,1500457587.1745017,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
59,1508065530.1745043,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
60,1530840608.174502,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
61,1717684665.1745014,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
62,1835934811.174504,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
63,1907398595.174503,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
64,2139797796.1745193,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
65,376685691.1745136,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
66,522680045.17450374,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
67,709452243.1745101,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
68,716177206.1745038,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
69,794331190.1745014,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,1
70,,,,657,77,2364,1.7272727272727273,133,76,296.8347904415584,0.6363636363636364,49,76,Grand total,2
71,362654813.174477,Super Graphic Store,ANONYMOUS,117,7,414,4.714285714285714,33,6,1566.7318925714285,0.7142857142857143,5,6,,2
72,715449757.1745106,Super Graphic Store,ANONYMOUS,54,1,296,4.0,4,1,347.193871,1.0,1,1,,2
73,87608278.17451021,Super Graphic Store,ANONYMOUS,39,2,45,2.0,4,2,101.268283,1.0,2,2,,2
74,493883432.1739408,Super Graphic Store,ANONYMOUS,35,3,55,4.666666666666667,14,3,1209.937151,0.6666666666666666,2,3,,2
75,834410559.1745033,Super Graphic Store,ANONYMOUS,31,4,90,1.25,5,4,655.9336788,1.0,4,4,,2
76,1720816610.1745107,Super Graphic Store,ANONYMOUS,25,1,105,2.0,2,1,208.370295,1.0,1,1,,2
77,314330852.17450523,Super Graphic Store,ANONYMOUS,25,2,465,1.5,3,2,527.5463985,1.0,2,2,,2
78,1268746999.174502,Super Graphic Store,ANONYMOUS,21,2,86,1.5,3,2,67.248528,1.0,2,2,,2
79,2014208042.174482,Super Graphic Store,ANONYMOUS,19,1,60,2.0,2,1,71.135653,1.0,1,1,,2
80,1161763726.174492,Super Graphic Store,ANONYMOUS,17,4,22,1.0,4,4,5.81947325,0.75,3,4,,2
81,1338331496.174503,Super Graphic Store,ANONYMOUS,15,1,47,3.0,3,1,103.265459,1.0,1,1,,2
82,570548283.1744918,Super Graphic Store,ANONYMOUS,14,1,37,3.0,3,1,49.527925,1.0,1,1,,2
83,837878488.1745017,Super Graphic Store,ANONYMOUS,14,1,44,2.0,2,1,65.927364,1.0,1,1,,2
84,485457455.1745014,Super Graphic Store,ANONYMOUS,13,1,56,1.0,1,1,106.454937,1.0,1,1,,2
85,1664317622.1739404,Super Graphic Store,ANONYMOUS,11,1,48,1.0,1,1,53.699304,1.0,1,1,,2
86,535647955.1744902,Super Graphic Store,ANONYMOUS,11,2,24,1.5,3,2,16.494465,0.5,1,2,,2
87,1835934811.174504,Super Graphic Store,ANONYMOUS,10,2,14,1.0,2,2,8.637427,0.5,1,2,,2
88,1336964800.1745014,Super Graphic Store,ANONYMOUS,9,2,8,1.5,3,2,5.9212245,0.5,1,2,,2
89,1973554986.1745095,Super Graphic Store,ANONYMOUS,9,1,39,1.0,1,1,41.211933,1.0,1,1,,2
90,314826333.1745051,Super Graphic Store,ANONYMOUS,8,1,244,1.0,1,1,552.719936,1.0,1,1,,2
91,750265075.1745014,Super Graphic Store,ANONYMOUS,8,1,21,1.0,1,1,45.992982,1.0,1,1,,2
92,1063218569.1745014,Super Graphic Store,ANONYMOUS,7,1,11,1.0,1,1,12.429081,1.0,1,1,,2
93,1158704306.1745017,Super Graphic Store,ANONYMOUS,7,1,22,1.0,1,1,25.888108,1.0,1,1,,2
94,1675345010.1745017,Super Graphic Store,ANONYMOUS,7,1,0,2.0,2,1,897.113967,1.0,1,1,,2
95,220595905.1745024,Super Graphic Store,ANONYMOUS,7,1,47,1.0,1,1,55.178519,1.0,1,1,,2
96,1587430910.1745193,Super Graphic Store,ANONYMOUS,6,1,12,1.0,1,1,47.769885,1.0,1,1,,2
97,1699836480.1745024,Super Graphic Store,ANONYMOUS,6,1,25,1.0,1,1,67.913927,1.0,1,1,,2
98,76917161.17450145,Super Graphic Store,ANONYMOUS,6,1,7,1.0,1,1,33.928332,1.0,1,1,,2
99,1144405385.1745012,Super Graphic Store,ANONYMOUS,5,1,1,1.0,1,1,0.718803,0.0,0,1,,2
100,1154144241.1740935,Super Graphic Store,ANONYMOUS,5,1,7,1.0,1,1,1271.078146,1.0,1,1,,2
101,24494791.17450155,Super Graphic Store,ANONYMOUS,5,1,0,2.0,2,1,12.350449,1.0,1,1,,2
102,344496340.1745025,Super Graphic Store,ANONYMOUS,5,1,9,1.0,1,1,9.062795,0.0,0,1,,2
103,426445904.17450154,Super Graphic Store,ANONYMOUS,5,1,2,1.0,1,1,11.826332,1.0,1,1,,2
104,1078896117.1745088,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.974599,0.0,0,1,,2
105,1369445785.1745136,Super Graphic Store,ANONYMOUS,4,1,1,1.0,1,1,1.782938,1.0,1,1,,2
106,1569811074.174503,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.948896,0.0,0,1,,2
107,1699033986.1745028,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,11.916225,1.0,1,1,,2
108,1762241319.1745036,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,6.652398,0.0,0,1,,2
109,376685691.1745136,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,0.000984,1.0,1,1,,2
110,659166332.1745093,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,4.914217,0.0,0,1,,2
111,694094213.1745111,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,13.0818,1.0,1,1,,2
112,743598610.1745017,Super Graphic Store,ANONYMOUS,4,1,0,1.0,1,1,19.068843,1.0,1,1,,2
113,1014075212.174502,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
114,1170783970.1745017,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
115,1376640095.1745038,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
116,1377218231.174503,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
117,1436538926.1745105,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
118,1684195213.1745045,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
119,1830056530.1745012,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
120,2026442629.1745045,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
121,438845078.1745035,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
122,568010840.1745024,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
123,571586153.1745067,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
124,781481453.1745024,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
125,80650876.17450136,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
126,9058264.17450221,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
127,972846117.1745017,Super Graphic Store,ANONYMOUS,3,1,0,1.0,1,1,0.0,0.0,0,1,,2
