,Effective user ID,Stream name,Namespace ID,Event count,Sessions,Purchase revenue,Transactions,Key events,Unnamed: 8,Source
0,,,,474,55,0,0,0,Grand total,1
1,362654813.174477,Super Graphic Store,ANONYMOUS,180,5,0,0,0,,1
2,2014208042.174482,Super Graphic Store,ANONYMOUS,28,2,0,0,0,,1
3,963911995.1744752,Super Graphic Store,ANONYMOUS,23,1,0,0,0,,1
4,1870437708.1744757,Super Graphic Store,ANONYMOUS,18,2,0,0,0,,1
5,761047948.1740621,Super Graphic Store,ANONYMOUS,13,2,0,0,0,,1
6,315123207.17450136,Super Graphic Store,ANONYMOUS,12,1,0,0,0,,1
7,1312120391.174469,Super Graphic Store,ANONYMOUS,10,1,0,0,0,,1
8,2118688513.1745017,Super Graphic Store,ANONYMOUS,10,1,0,0,0,,1
9,377635215.174504,Super Graphic Store,ANONYMOUS,10,1,0,0,0,,1
10,493883432.1739408,Super Graphic Store,ANONYMOUS,9,1,0,0,0,,1
11,1338331496.174503,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,1
12,1512799216.1745017,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,1
13,220595905.1745024,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,1
14,247420972.1745025,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,1
15,461130643.17450434,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,1
16,609425373.1745015,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,1
17,899354956.1744995,Super Graphic Store,ANONYMOUS,6,1,0,0,0,,1
18,149437230.17450207,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,1
19,179501770.17450264,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,1
20,351206472.1745014,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,1
21,54660123.17450216,Super Graphic Store,ANONYMOUS,5,2,0,0,0,,1
22,969189912.1745023,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,1
23,1038541322.1745028,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
24,1423862206.1745036,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
25,1525811640.1745012,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
26,1762241319.1745036,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
27,1996386056.1745017,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
28,2002101532.174503,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
